KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Expenses,,,,,,,,,,86,113,126,DALBHARAT,Income_Statement
Operating Profit,,,,,,,,,,17,12,38,DALBHARAT,Income_Statement
OPM %,,,,,,,,,,16%,10%,23%,DALBHARAT,Income_Statement
Other Income,,,,,,,,,,65,91,87,DALBHARAT,Income_Statement
Interest,,,,,,,,,,21,5,2,DALBHARAT,Income_Statement
Depreciation,,,,,,,,,,4,4,4,DALBHARAT,Income_Statement
Profit before tax,,,,,,,,,,57,94,119,DALBHARAT,Income_Statement
Tax %,,,,,,,,,,30%,23%,15%,DALBHARAT,Income_Statement
Net Profit,,,,,,,,,,40,72,101,DALBHARAT,Income_Statement
EPS in Rs,,,,,,,,,,8000,14400,5.23,DALBHARAT,Income_Statement
Dividend Payout %,,,,,,,,,,0%,0%,39%,DALBHARAT,Income_Statement
Share Capital,,,,,,,,,,6654,6654,39,DALBHARAT,Balance_Sheet
Reserves,,,,,,,,,,799,845,7527,DALBHARAT,Balance_Sheet
Borrowings,,,,,,,,,,200,2,2,DALBHARAT,Balance_Sheet
Other Liabilities,,,,,,,,,,6826,6899,114,DALBHARAT,Balance_Sheet
Total Liabilities,,,,,,,,,,7825,7746,7682,DALBHARAT,Balance_Sheet
Fixed Assets,,,,,,,,,,77,74,72,DALBHARAT,Balance_Sheet
CWIP,,,,,,,,,,0,1,7,DALBHARAT,Balance_Sheet
Investments,,,,,,,,,,7162,7066,7113,DALBHARAT,Balance_Sheet
Other Assets,,,,,,,,,,586,605,490,DALBHARAT,Balance_Sheet
Total Assets,,,,,,,,,,7825,7746,7682,DALBHARAT,Balance_Sheet
Cash from Operating Activity,,,,,,,,,,18,-198,-187,DALBHARAT,Cash_Flow
Cash from Investing Activity,,,,,,,,,,15,431,225,DALBHARAT,Cash_Flow
Cash from Financing Activity,,,,,,,,,,-33,-231,-31,DALBHARAT,Cash_Flow
Net Cash Flow,,,,,,,,,,0,2,7,DALBHARAT,Cash_Flow
Sales,,123,167,225,319,421,541,637,765,882,1024,1165,LALPATHLAB,Income_Statement
Expenses,,100,129,171,240,334,406,486,562,651,768,882,LALPATHLAB,Income_Statement
Operating Profit,,23,38,53,79,87,135,151,204,230,256,283,LALPATHLAB,Income_Statement
OPM %,,19%,23%,24%,25%,21%,25%,24%,27%,26%,25%,24%,LALPATHLAB,Income_Statement
Other Income,,4,0,2,2,3,8,17,20,28,31,46,LALPATHLAB,Income_Statement
Interest,,1,0,1,3,0,0,0,0,1,1,1,LALPATHLAB,Income_Statement
Depreciation,,7,0,12,18,18,31,32,32,26,31,36,LALPATHLAB,Income_Statement
Profit before tax,,20,38,43,61,71,111,135,192,231,256,292,LALPATHLAB,Income_Statement
Tax %,,35%,34%,34%,32%,31%,34%,32%,34%,34%,34%,33%,LALPATHLAB,Income_Statement
Net Profit,,13,25,28,41,49,74,92,126,152,168,195,LALPATHLAB,Income_Statement
EPS in Rs,,389.18,714.49,838.15,1222.72,1456.93,137.77,16.8,15.21,18.36,20.19,23.45,LALPATHLAB,Income_Statement
Dividend Payout %,,0%,0%,20%,21%,11%,8%,9%,16%,16%,22%,26%,LALPATHLAB,Income_Statement
Share Capital,,5,5,5,5,5,80,81,83,83,83,83,LALPATHLAB,Balance_Sheet
Reserves,,76,91,88,107,147,135,238,396,503,722,875,LALPATHLAB,Balance_Sheet
Borrowings,,0,1,19,0,0,0,0,0,0,0,0,LALPATHLAB,Balance_Sheet
Other Liabilities,,27,45,54,60,102,142,157,113,90,90,108,LALPATHLAB,Balance_Sheet
Total Liabilities,,106,141,164,170,252,331,449,592,676,896,1067,LALPATHLAB,Balance_Sheet
Fixed Assets,,28,31,87,84,91,114,119,130,121,173,173,LALPATHLAB,Balance_Sheet
CWIP,,9,27,0,6,1,0,1,4,17,9,3,LALPATHLAB,Balance_Sheet
Investments,,34,11,19,23,80,20,49,74,134,174,214,LALPATHLAB,Balance_Sheet
Other Assets,,35,73,59,58,80,197,280,384,404,540,677,LALPATHLAB,Balance_Sheet
Total Assets,,106,141,164,170,252,331,449,592,676,896,1067,LALPATHLAB,Balance_Sheet
Cash from Operating Activity,,,,41,63,79,96,94,142,167,189,208,LALPATHLAB,Cash_Flow
Cash from Investing Activity,,,,-19,-22,-56,-86,-86,-148,-134,-166,-93,LALPATHLAB,Cash_Flow
Cash from Financing Activity,,,,-22,-38,-15,-10,1,1,-32,13,-54,LALPATHLAB,Cash_Flow
Net Cash Flow,,,,0,3,9,0,9,-5,1,36,61,LALPATHLAB,Cash_Flow
Sales,,691,936,1149,1312,1531,1595,1904,2150,2302,2354,2489,EMAMILTD,Income_Statement
Expenses,,569,698,886,1038,1184,1170,1308,1440,1517,1578,1792,EMAMILTD,Income_Statement
Operating Profit,,123,238,263,275,347,425,596,710,785,776,697,EMAMILTD,Income_Statement
OPM %,,18%,25%,23%,21%,23%,27%,31%,33%,34%,33%,28%,EMAMILTD,Income_Statement
Other Income,,19,32,34,56,57,63,17,-17,0,-49,37,EMAMILTD,Income_Statement
Interest,,32,55,15,16,6,4,5,54,58,33,19,EMAMILTD,Income_Statement
Depreciation,,8,15,14,19,21,33,31,252,305,305,318,EMAMILTD,Income_Statement
Profit before tax,,102,201,267,296,377,452,577,387,422,389,396,EMAMILTD,Income_Statement
Tax %,,14%,18%,15%,13%,14%,12%,18%,14%,18%,20%,23%,EMAMILTD,Income_Statement
Net Profit,,88,165,227,257,324,398,472,332,346,310,305,EMAMILTD,Income_Statement
EPS in Rs,,2.35,3.64,5.01,5.66,7.13,8.77,10.39,7.32,7.63,6.82,6.72,EMAMILTD,Income_Statement
Dividend Payout %,,32%,27%,23%,47%,37%,40%,34%,48%,46%,51%,59%,EMAMILTD,Income_Statement
Share Capital,,13,15,15,15,15,23,23,23,23,23,45,EMAMILTD,Balance_Sheet
Reserves,,286,604,668,682,762,906,1189,1537,1690,1949,2019,EMAMILTD,Balance_Sheet
Borrowings,,448,259,224,155,72,31,24,660,435,279,54,EMAMILTD,Balance_Sheet
Other Liabilities,,157,162,173,305,302,300,320,312,294,347,464,EMAMILTD,Balance_Sheet
Total Liabilities,,904,1041,1080,1157,1152,1260,1556,2532,2441,2598,2583,EMAMILTD,Balance_Sheet
Fixed Assets,,613,561,482,401,374,374,424,1894,1952,1763,1643,EMAMILTD,Balance_Sheet
CWIP,,37,6,6,66,44,8,25,60,20,30,36,EMAMILTD,Balance_Sheet
Investments,,40,62,7,81,164,296,502,95,128,315,187,EMAMILTD,Balance_Sheet
Other Assets,,215,411,584,610,570,582,605,482,340,489,716,EMAMILTD,Balance_Sheet
Total Assets,,904,1041,1080,1157,1152,1260,1556,2532,2441,2598,2583,EMAMILTD,Balance_Sheet
Cash from Operating Activity,,192,148,94,337,327,378,497,534,715,577,513,EMAMILTD,Cash_Flow
Cash from Investing Activity,,-509,-33,52,-115,-119,-130,-217,-1294,-261,-237,20,EMAMILTD,Cash_Flow
Cash from Financing Activity,,325,34,-102,-154,-202,-264,-221,511,-519,-331,-434,EMAMILTD,Cash_Flow
Net Cash Flow,,8,149,44,68,6,-15,59,-249,-64,9,99,EMAMILTD,Cash_Flow
Sales,,,1578,2279,2770,2719,3122,3510,3658,3878,4488,5417,ENDURANCE,Income_Statement
Expenses,,,1358,1996,2423,2381,2718,3096,3219,3407,3903,4694,ENDURANCE,Income_Statement
Operating Profit,,,221,282,347,338,404,414,438,471,585,724,ENDURANCE,Income_Statement
OPM %,,,14%,12%,13%,12%,13%,12%,12%,12%,13%,13%,ENDURANCE,Income_Statement
Other Income,,,52,61,15,19,23,30,21,13,-3,4,ENDURANCE,Income_Statement
Interest,,,77,87,87,84,72,41,33,18,10,17,ENDURANCE,Income_Statement
Depreciation,,,111,120,141,142,162,157,148,167,170,176,ENDURANCE,Income_Statement
Profit before tax,,,84,136,135,131,193,246,279,299,402,535,ENDURANCE,Income_Statement
Tax %,,,37%,24%,22%,23%,22%,26%,25%,26%,32%,33%,ENDURANCE,Income_Statement
Net Profit,,,53,103,106,101,150,181,209,222,272,358,ENDURANCE,Income_Statement
EPS in Rs,,,31.27,23.52,23.36,22.97,34.13,41.27,47.47,15.75,19.31,25.44,ENDURANCE,Income_Statement
Dividend Payout %,,,0%,1%,3%,3%,4%,7%,6%,16%,21%,22%,ENDURANCE,Income_Statement
Share Capital,,,59,19,20,19,19,18,18,141,141,141,ENDURANCE,Balance_Sheet
Reserves,,,373,512,656,712,973,1140,1332,1422,1652,1939,ENDURANCE,Balance_Sheet
Borrowings,,,811,863,748,741,500,339,244,208,198,217,ENDURANCE,Balance_Sheet
Other Liabilities,,,433,410,492,437,453,383,406,479,615,662,ENDURANCE,Balance_Sheet
Total Liabilities,,,1634,1802,1914,1907,1944,1880,2000,2250,2606,2959,ENDURANCE,Balance_Sheet
Fixed Assets,,,853,890,880,891,953,892,773,846,963,1162,ENDURANCE,Balance_Sheet
CWIP,,,26,27,33,23,14,22,44,34,55,101,ENDURANCE,Balance_Sheet
Investments,,,282,297,369,397,365,365,412,396,410,400,ENDURANCE,Balance_Sheet
Other Assets,,,472,588,632,595,613,601,771,974,1178,1296,ENDURANCE,Balance_Sheet
Total Assets,,,1634,1802,1914,1907,1944,1880,2000,2250,2606,2959,ENDURANCE,Balance_Sheet
Cash from Operating Activity,,,168,182,420,268,389,298,393,252,359,478,ENDURANCE,Cash_Flow
Cash from Investing Activity,,,-101,-152,-152,-165,-86,-98,-228,-205,-293,-392,ENDURANCE,Cash_Flow
Cash from Financing Activity,,,-65,-26,-214,-146,-320,-209,-162,-50,-60,-64,ENDURANCE,Cash_Flow
Net Cash Flow,,,2,4,54,-43,-16,-9,3,-3,6,22,ENDURANCE,Cash_Flow
Sales,,,,,286,417,520,548,605,713,761,897,ERIS,Income_Statement
Expenses,,,,,224,325,432,434,435,442,445,563,ERIS,Income_Statement
Operating Profit,,,,,61,92,88,114,170,271,316,334,ERIS,Income_Statement
OPM %,,,,,22%,22%,17%,21%,28%,38%,42%,37%,ERIS,Income_Statement
Other Income,,,,,3,1,4,3,3,25,28,32,ERIS,Income_Statement
Interest,,,,,0,0,0,0,0,1,10,23,ERIS,Income_Statement
Depreciation,,,,,2,2,4,15,20,21,22,32,ERIS,Income_Statement
Profit before tax,,,,,62,90,89,103,154,274,312,312,ERIS,Income_Statement
Tax %,,,,,30%,27%,27%,19%,10%,9%,6%,8%,ERIS,Income_Statement
Net Profit,,,,,43,66,65,83,138,248,294,285,ERIS,Income_Statement
EPS in Rs,,,,,3148.36,4785.45,4738.18,6060.36,10034.18,18.05,21.36,20.75,ERIS,Income_Statement
Dividend Payout %,,,,,0%,0%,0%,0%,61%,0%,0%,0%,ERIS,Income_Statement
Share Capital,,,,,0,0,0,0,0,14,14,14,ERIS,Balance_Sheet
Reserves,,,,,53,119,184,267,305,561,854,1142,ERIS,Balance_Sheet
Borrowings,,,,,1,0,0,1,0,0,376,176,ERIS,Balance_Sheet
Other Liabilities,,,,,41,55,83,86,96,82,126,138,ERIS,Balance_Sheet
Total Liabilities,,,,,96,174,268,354,402,657,1370,1470,ERIS,Balance_Sheet
Fixed Assets,,,,,11,15,64,61,65,92,490,484,ERIS,Balance_Sheet
CWIP,,,,,0,0,0,0,0,0,0,3,ERIS,Balance_Sheet
Investments,,,,,19,58,98,182,206,381,546,580,ERIS,Balance_Sheet
Other Assets,,,,,66,101,106,110,131,184,335,403,ERIS,Balance_Sheet
Total Assets,,,,,96,174,268,354,402,657,1370,1470,ERIS,Balance_Sheet
Cash from Operating Activity,,,,,29,40,90,92,133,210,236,216,ERIS,Cash_Flow
Cash from Investing Activity,,,,,-22,-41,-85,-94,-45,-199,-593,2,ERIS,Cash_Flow
Cash from Financing Activity,,,,,-7,-1,0,1,-84,-18,363,-221,ERIS,Cash_Flow
Net Cash Flow,,,,,1,-1,5,-1,4,-6,7,-2,ERIS,Cash_Flow
Sales,1992,2158,2746,3238,3894,,6292,3986,3367,4093,4995,6196,ESCORTS,Income_Statement
Expenses,1911,1994,2559,3090,3712,,5907,3914,3190,3821,4445,5463,ESCORTS,Income_Statement
Operating Profit,81,164,187,148,182,,385,72,177,272,550,733,ESCORTS,Income_Statement
OPM %,4%,8%,7%,5%,5%,,6%,2%,5%,7%,11%,12%,ESCORTS,Income_Statement
Other Income,57,60,92,46,51,,81,119,27,58,59,93,ESCORTS,Income_Statement
Interest,69,75,52,56,96,,111,57,50,31,29,18,ESCORTS,Income_Statement
Depreciation,43,38,39,38,48,,83,66,58,63,72,85,ESCORTS,Income_Statement
Profit before tax,26,111,188,101,88,,272,68,96,236,509,722,ESCORTS,Income_Statement
Tax %,55%,19%,27%,-19%,21%,,10%,-9%,13%,32%,32%,33%,ESCORTS,Income_Statement
Net Profit,12,90,138,120,70,,245,75,84,160,345,485,ESCORTS,Income_Statement
EPS in Rs,1.31,9.89,13.02,11.37,6.59,,19.98,6.09,6.83,13.09,28.12,39.56,ESCORTS,Income_Statement
Dividend Payout %,0%,10%,11%,13%,21%,,9%,19%,18%,11%,7%,6%,ESCORTS,Income_Statement
Share Capital,91,91,102,102,119,,119,119,123,123,123,123,ESCORTS,Balance_Sheet
Reserves,1112,1353,1636,1696,1495,,1712,1677,1715,1895,2452,2900,ESCORTS,Balance_Sheet
Borrowings,437,265,299,372,553,,436,481,360,263,50,277,ESCORTS,Balance_Sheet
Other Liabilities,779,858,869,967,1306,,1261,1170,1094,1233,1645,1697,ESCORTS,Balance_Sheet
Total Liabilities,2418,2567,2905,3137,3473,,3528,3448,3292,3513,4269,4997,ESCORTS,Balance_Sheet
Fixed Assets,823,1457,1450,1462,1586,,1643,1583,1559,1578,1581,1630,ESCORTS,Balance_Sheet
CWIP,14,11,19,45,66,,37,55,58,35,64,76,ESCORTS,Balance_Sheet
Investments,426,236,366,366,386,,382,383,416,587,894,857,ESCORTS,Balance_Sheet
Other Assets,1156,864,1070,1264,1435,,1467,1426,1259,1313,1730,2433,ESCORTS,Balance_Sheet
Total Assets,2418,2567,2905,3137,3473,,3528,3448,3292,3513,4269,4997,ESCORTS,Balance_Sheet
Cash from Operating Activity,101,238,85,186,60,,347,2,222,301,472,-241,ESCORTS,Cash_Flow
Cash from Investing Activity,-17,49,-163,-82,-108,,-62,19,-25,-140,-378,-14,ESCORTS,Cash_Flow
Cash from Financing Activity,-114,-229,69,7,-25,,-236,-11,-195,-138,0,192,ESCORTS,Cash_Flow
Net Cash Flow,-30,57,-8,112,-73,,49,10,1,23,94,-63,ESCORTS,Cash_Flow
Sales,,3361,3760,4507,5066,6013,5909,6802,6795,7583,9186,10588,EXIDEIND,Income_Statement
Expenses,,2813,2868,3626,4380,5227,5093,5893,5773,6499,7942,9176,EXIDEIND,Income_Statement
Operating Profit,,548,892,881,686,786,816,909,1021,1084,1244,1413,EXIDEIND,Income_Statement
OPM %,,16%,24%,20%,14%,13%,14%,13%,15%,14%,14%,13%,EXIDEIND,Income_Statement
Other Income,,7,12,151,67,76,35,31,47,103,14,147,EXIDEIND,Income_Statement
Interest,,52,14,9,8,6,2,3,3,5,7,7,EXIDEIND,Income_Statement
Depreciation,,68,81,83,101,113,126,140,158,206,246,314,EXIDEIND,Income_Statement
Profit before tax,,435,810,940,645,742,723,798,908,976,1006,1239,EXIDEIND,Income_Statement
Tax %,,35%,34%,29%,29%,30%,33%,32%,31%,29%,34%,32%,EXIDEIND,Income_Statement
Net Profit,,284,537,666,461,523,487,546,624,694,668,844,EXIDEIND,Income_Statement
EPS in Rs,,3.55,6.32,7.84,5.43,6.15,5.73,6.42,7.35,8.16,7.86,9.93,EXIDEIND,Income_Statement
Dividend Payout %,,17%,16%,19%,28%,26%,31%,34%,33%,29%,31%,24%,EXIDEIND,Income_Statement
Share Capital,,80,85,85,85,85,85,85,85,85,85,85,EXIDEIND,Balance_Sheet
Reserves,,1170,2135,2657,2972,3339,3646,3970,4426,4879,5304,5902,EXIDEIND,Balance_Sheet
Borrowings,,317,90,2,0,0,0,18,103,170,0,0,EXIDEIND,Balance_Sheet
Other Liabilities,,528,652,862,1034,1125,1225,1330,1524,1642,2008,2185,EXIDEIND,Balance_Sheet
Total Liabilities,,2095,2962,3607,4091,4548,4957,5403,6138,6776,7397,8172,EXIDEIND,Balance_Sheet
Fixed Assets,,668,677,836,967,994,998,1090,1265,1546,1958,2297,EXIDEIND,Balance_Sheet
CWIP,,17,38,47,27,59,51,100,186,141,234,255,EXIDEIND,Balance_Sheet
Investments,,668,1335,1378,1555,1640,1967,1896,2698,2674,1969,2199,EXIDEIND,Balance_Sheet
Other Assets,,742,912,1346,1543,1855,1941,2317,1989,2414,3236,3421,EXIDEIND,Balance_Sheet
Total Assets,,2095,2962,3607,4091,4548,4957,5403,6138,6776,7397,8172,EXIDEIND,Balance_Sheet
Cash from Operating Activity,,505,524,398,510,360,647,324,1340,430,517,1004,EXIDEIND,Cash_Flow
Cash from Investing Activity,,-319,-769,-184,-323,-180,-434,-213,-1146,-307,-28,-766,EXIDEIND,Cash_Flow
Cash from Financing Activity,,-154,214,-201,-144,-163,-168,-202,-150,-178,-421,-252,EXIDEIND,Cash_Flow
Net Cash Flow,,32,-31,12,43,17,45,-90,44,-55,67,-14,EXIDEIND,Cash_Flow
Sales,,174,210,265,281,353,369,611,612,645,659,656,FORTIS,Income_Statement
Expenses,,166,188,235,277,354,449,759,741,792,704,780,FORTIS,Income_Statement
Operating Profit,,8,22,30,5,-1,-80,-149,-130,-147,-45,-123,FORTIS,Income_Statement
OPM %,,5%,11%,11%,2%,0%,-22%,-24%,-21%,-23%,-7%,-19%,FORTIS,Income_Statement
Other Income,,19,41,176,312,191,230,221,170,166,77,522,FORTIS,Income_Statement
Interest,,22,22,54,103,134,91,81,65,106,64,192,FORTIS,Income_Statement
Depreciation,,12,11,10,12,23,17,27,25,27,29,27,FORTIS,Income_Statement
Profit before tax,,-7,30,142,201,32,41,-36,-50,-114,-60,180,FORTIS,Income_Statement
Tax %,,-8%,0%,0%,0%,46%,42%,5%,19%,34%,-6%,31%,FORTIS,Income_Statement
Net Profit,,-7,30,142,201,17,24,-34,-40,-75,-64,123,FORTIS,Income_Statement
EPS in Rs,,-0.23,,3.5,4.97,0.43,0.52,-0.73,-0.87,-1.44,-1.23,1.63,FORTIS,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,FORTIS,Income_Statement
Share Capital,,239,322,409,410,410,463,463,463,518,519,755,FORTIS,Balance_Sheet
Reserves,,561,1261,2610,2795,2796,3247,3217,3284,3754,3708,7608,FORTIS,Balance_Sheet
Borrowings,,285,1242,449,1107,1014,1279,1234,1076,647,555,1478,FORTIS,Balance_Sheet
Other Liabilities,,136,94,110,190,264,171,246,215,242,234,279,FORTIS,Balance_Sheet
Total Liabilities,,1209,2914,3574,4498,4478,5160,5159,5039,5161,5016,10120,FORTIS,Balance_Sheet
Fixed Assets,,75,72,74,85,118,146,190,172,186,203,180,FORTIS,Balance_Sheet
CWIP,,0,1,5,49,73,121,169,182,199,166,165,FORTIS,Balance_Sheet
Investments,,752,1395,1531,2310,2406,2795,2411,2428,3603,3658,8310,FORTIS,Balance_Sheet
Other Assets,,381,1446,1964,2054,1882,2097,2389,2257,1174,989,1466,FORTIS,Balance_Sheet
Total Assets,,1209,2914,3574,4498,4478,5160,5159,5039,5161,5016,10120,FORTIS,Balance_Sheet
Cash from Operating Activity,,9,16,0,100,1,-45,-144,-761,22,-15,-61,FORTIS,Cash_Flow
Cash from Investing Activity,,-44,-1703,-436,-723,312,-521,294,394,-72,245,-4688,FORTIS,Cash_Flow
Cash from Financing Activity,,76,1644,469,599,-219,484,-170,370,45,-292,4792,FORTIS,Cash_Flow
Net Cash Flow,,42,-43,32,-23,95,-82,-20,3,-5,-62,43,FORTIS,Cash_Flow
Sales,,,,,1578,,2343,1779,6845,17980,20106,20165,FRETAIL,Income_Statement
Expenses,,,,,2065,,2931,2148,6762,17399,19272,19119,FRETAIL,Income_Statement
Operating Profit,,,,,-487,,-588,-368,83,581,834,1045,FRETAIL,Income_Statement
OPM %,,,,,-31%,,-25%,-21%,1%,3%,4%,5%,FRETAIL,Income_Statement
Other Income,,,,,3,,405,54,18,24,-594,12,FRETAIL,Income_Statement
Interest,,,,,18,,71,20,50,204,175,224,FRETAIL,Income_Statement
Depreciation,,,,,37,,61,44,37,33,53,101,FRETAIL,Income_Statement
Profit before tax,,,,,-538,,-315,-379,15,368,11,733,FRETAIL,Income_Statement
Tax %,,,,,0%,,0%,0%,0%,0%,0%,0%,FRETAIL,Income_Statement
Net Profit,,,,,-538,,-315,-379,15,368,11,733,FRETAIL,Income_Statement
EPS in Rs,,,,,-10.1,,-2.25,-2.71,0.09,7.81,0.23,14.58,FRETAIL,Income_Statement
Dividend Payout %,,,,,0%,,0%,0%,0%,0%,0%,0%,FRETAIL,Income_Statement
Share Capital,,,,,533,,1399,1399,9,94,100,101,FRETAIL,Balance_Sheet
Reserves,,,,,-1522,,-1441,-1820,1865,2453,2996,3751,FRETAIL,Balance_Sheet
Borrowings,,,,,627,,183,390,1122,1079,1286,2657,FRETAIL,Balance_Sheet
Other Liabilities,,,,,858,,377,490,2589,3311,3812,4019,FRETAIL,Balance_Sheet
Total Liabilities,,,,,496,,517,458,5585,6938,8194,10528,FRETAIL,Balance_Sheet
Fixed Assets,,,,,184,,143,135,261,554,1019,1441,FRETAIL,Balance_Sheet
CWIP,,,,,39,,47,43,0,12,34,190,FRETAIL,Balance_Sheet
Investments,,,,,0,,0,0,0,0,0,104,FRETAIL,Balance_Sheet
Other Assets,,,,,273,,327,280,5325,6372,7142,8793,FRETAIL,Balance_Sheet
Total Assets,,,,,496,,517,458,5585,6938,8194,10528,FRETAIL,Balance_Sheet
Cash from Operating Activity,,,,,-136,,-704,-284,262,197,632,-302,FRETAIL,Cash_Flow
Cash from Investing Activity,,,,,-81,,-61,-50,-170,-70,-455,-774,FRETAIL,Cash_Flow
Cash from Financing Activity,,,,,236,,750,320,-11,-88,-130,1106,FRETAIL,Cash_Flow
Net Cash Flow,,,,,19,,-15,-14,81,39,47,30,FRETAIL,Cash_Flow
Sales,,652,843,1047,1220,1424,1662,1875,1755,1733,1677,1862,GILLETTE,Income_Statement
Expenses,,501,637,924,1112,1290,1589,1684,1448,1348,1290,1478,GILLETTE,Income_Statement
Operating Profit,,152,205,123,108,134,73,191,306,385,387,384,GILLETTE,Income_Statement
OPM %,,23%,24%,12%,9%,9%,4%,10%,17%,22%,23%,21%,GILLETTE,Income_Statement
Other Income,,37,20,31,33,36,38,68,50,34,8,11,GILLETTE,Income_Statement
Interest,,0,0,0,0,0,0,5,6,7,7,8,GILLETTE,Income_Statement
Depreciation,,11,12,20,24,31,33,39,30,38,42,48,GILLETTE,Income_Statement
Profit before tax,,177,213,134,117,138,78,215,320,374,345,339,GILLETTE,Income_Statement
Tax %,,36%,36%,36%,35%,37%,34%,26%,33%,32%,34%,25%,GILLETTE,Income_Statement
Net Profit,,113,137,86,76,87,51,158,214,253,229,253,GILLETTE,Income_Statement
EPS in Rs,,34.72,42.07,26.44,23.24,26.75,15.78,48.53,65.73,77.67,70.29,77.62,GILLETTE,Income_Statement
Dividend Payout %,,36%,36%,57%,65%,56%,95%,31%,60%,211%,33%,57%,GILLETTE,Income_Statement
Share Capital,,33,33,33,33,33,33,33,33,33,33,33,GILLETTE,Balance_Sheet
Reserves,,458,538,568,587,617,611,710,904,468,662,746,GILLETTE,Balance_Sheet
Borrowings,,0,0,0,0,0,0,0,0,0,0,0,GILLETTE,Balance_Sheet
Other Liabilities,,155,262,233,424,390,411,468,488,498,515,432,GILLETTE,Balance_Sheet
Total Liabilities,,646,833,833,1043,1039,1054,1210,1424,998,1209,1210,GILLETTE,Balance_Sheet
Fixed Assets,,89,121,125,151,170,173,156,178,214,264,300,GILLETTE,Balance_Sheet
CWIP,,2,3,34,38,30,61,63,88,63,40,25,GILLETTE,Balance_Sheet
Investments,,0,0,0,0,0,0,0,0,0,0,0,GILLETTE,Balance_Sheet
Other Assets,,555,710,674,854,839,821,991,1158,721,904,886,GILLETTE,Balance_Sheet
Total Assets,,646,833,833,1043,1039,1054,1210,1424,998,1209,1210,GILLETTE,Balance_Sheet
Cash from Operating Activity,,72,161,-25,141,29,96,172,279,248,237,134,GILLETTE,Cash_Flow
Cash from Investing Activity,,-8,0,-52,-42,78,-36,-103,155,14,-77,-65,GILLETTE,Cash_Flow
Cash from Financing Activity,,-48,-48,-57,-57,-57,-57,-58,-79,-684,-39,-165,GILLETTE,Cash_Flow
Net Cash Flow,,16,113,-133,42,51,3,12,356,-422,121,-95,GILLETTE,Cash_Flow
Sales,1665,1873,2112,2376,2626,2546,,3288,2826,2903,2872,3129,GLAXO,Income_Statement
Expenses,1157,1236,1374,1593,1811,2025,,2661,2363,2485,2363,2565,GLAXO,Income_Statement
Operating Profit,508,637,737,782,815,521,,627,463,418,508,563,GLAXO,Income_Statement
OPM %,31%,34%,35%,33%,31%,20%,,19%,16%,14%,18%,18%,GLAXO,Income_Statement
Other Income,311,153,122,-163,49,228,,148,138,120,71,150,GLAXO,Income_Statement
Interest,1,0,1,0,0,0,,0,0,0,0,1,GLAXO,Income_Statement
Depreciation,16,16,18,20,18,20,,25,25,27,38,49,GLAXO,Income_Statement
Profit before tax,802,773,841,599,847,729,,749,576,511,542,664,GLAXO,Income_Statement
Tax %,28%,34%,33%,28%,32%,31%,,37%,35%,34%,35%,36%,GLAXO,Income_Statement
Net Profit,577,512,564,431,577,502,,472,375,337,352,425,GLAXO,Income_Statement
EPS in Rs,34.04,30.24,33.28,25.42,34.08,29.63,,27.84,22.11,19.88,20.78,25.11,GLAXO,Income_Statement
Dividend Payout %,59%,50%,60%,89%,73%,84%,,112%,113%,75%,84%,80%,GLAXO,Income_Statement
Share Capital,85,85,85,85,85,85,,85,85,85,85,169,GLAXO,Balance_Sheet
Reserves,1456,1674,1846,1835,1925,1932,,1767,2120,1944,1995,1973,GLAXO,Balance_Sheet
Borrowings,6,5,5,5,5,4,,3,2,2,1,1,GLAXO,Balance_Sheet
Other Liabilities,726,700,847,1086,1075,1129,,1382,864,991,1884,1766,GLAXO,Balance_Sheet
Total Liabilities,2273,2464,2783,3011,3090,3150,,3236,3071,3021,3965,3909,GLAXO,Balance_Sheet
Fixed Assets,90,93,109,99,89,100,,123,204,258,325,432,GLAXO,Balance_Sheet
CWIP,10,21,9,16,44,62,,115,268,605,923,1003,GLAXO,Balance_Sheet
Investments,752,191,160,160,103,58,,48,54,48,48,25,GLAXO,Balance_Sheet
Other Assets,1421,2159,2505,2736,2854,2930,,2950,2545,2110,2670,2450,GLAXO,Balance_Sheet
Total Assets,2273,2464,2783,3011,3090,3150,,3236,3071,3021,3965,3909,GLAXO,Balance_Sheet
Cash from Operating Activity,319,503,468,322,294,267,,341,138,232,475,411,GLAXO,Cash_Flow
Cash from Investing Activity,787,655,102,368,-93,198,,178,499,303,-107,-154,GLAXO,Cash_Flow
Cash from Financing Activity,-355,-392,-294,-392,-437,-490,,-497,-638,-511,-307,-358,GLAXO,Cash_Flow
Net Cash Flow,751,766,275,298,-236,-25,,22,-1,25,61,-102,GLAXO,Cash_Flow
Sales,,823,983,1163,1565,1949,2301,5086,6115,7989,5520,6305,GLENMARK,Income_Statement
Expenses,,603,819,877,1253,1617,1805,3618,4349,5089,4417,4977,GLENMARK,Income_Statement
Operating Profit,,221,164,286,311,332,496,1467,1766,2900,1103,1327,GLENMARK,Income_Statement
OPM %,,27%,17%,25%,20%,17%,22%,29%,29%,36%,20%,21%,GLENMARK,Income_Statement
Other Income,,139,78,72,55,116,67,-86,116,-89,326,955,GLENMARK,Income_Statement
Interest,,95,100,86,61,44,31,30,36,153,191,224,GLENMARK,Income_Statement
